Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Фасадные краски,"MAESTRO фасадная акриловая BW  0,9",Остаток Алматы: 30 шт,5 270 KZT,5248871,Marshall,Турция,"0,9 л"
Фасадные краски,"DufaPremium ВД краска SILOXANE фасадная силоксановая база 3  0,9л",Остаток Алматы: 30 шт,8 470 KZT,МП00-007452,DUFA,Германия,"0,9 л"
Фасадные краски,"MAESTRO фасадная акриловая BW  2,5",Остаток Алматы: 22 шт,11 990 KZT,5251963,Marshall,Турция,"2,5 л"
Фасадные краски,Profilux DIY Краска для разметки дорог жёлтая   5кг,Остаток Алматы: 28 шт,17 300 KZT,МП00-004730,Profilux,Германия,5 л
Фасадные краски,Краска Luxium Prof Diamond Фасад Глад мт BW 1л,Остаток Алматы: 29 шт,10 650 KZT,50034856,LUXIUM,Англия,1 л
Фасадные краски,"Dufa ВД краска FASSADENWEISS база 1,  2,5л",Остаток Алматы: 27 шт,11 910 KZT,Н0000003413,DUFA,Германия,"2,5 л"
Фасадные краски,"Profilux ВД краска PL-112А фасад. влагостойкая белая  1,4кг",Остаток Алматы: 24 шт,3 070 KZT,МП00-007843,Profilux,Германия,"1,4 л"
Фасадные краски,"DufaPremium ВД краска KeraFacade  база1  2,5л",Остаток Алматы: 23 шт,19 330 KZT,МП00-009926,DUFA,Германия,"2,5 л"
Фасадные краски,"DufaPremium ВД краска KeraFacade  база3  0,9л",Остаток Алматы: 22 шт,7 570 KZT,МП00-009925,DUFA,Германия,"0,9 л"
Фасадные краски,"DufaPremium ВД краска KeraFacade  база3  2,5л",Остаток Алматы: 21 шт,19 330 KZT,МП00-009927,DUFA,Германия,"2,5 л"
Фасадные краски,"Dufa ВД краска FASSADENWEISS база 3  2,5л",Остаток Алматы: 19 шт,11 910 KZT,Н0000002305,DUFA,Германия,"2,5 л"
Фасадные краски,Краска Dulux Professional BINDO FACADE для фасадов и цоколей BW 9л,Остаток Алматы: 18 шт,55 160 KZT,5351675,Dulux,Англия,9 л
Фасадные краски,"Краска Luxium Prof Diamond Фасад Глад мт BC 2,25л",Остаток Алматы: 18 шт,27 890 KZT,50034857,LUXIUM,Англия,"2,25 л"
Фасадные краски,"MAESTRO фасадная акриловая BC  2,5",Остаток Алматы: 10 шт,11 990 KZT,5251965,Marshall,Турция,"2,5 л"
Фасадные краски,"KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 2,7",Остаток Алматы: 13 шт,35 100 KZT,970201003,Teknos,Финляндия,"2,7 л"
Фасадные краски,"Краска Dulux TRADE Фасадная гладкая bs BW  2,5",Остаток Алматы: 9 шт,27 890 KZT,5183700,Dulux,Англия,"2,5 л"
Фасадные краски,"Краска Dulux TRADE Фасадная гладкая bs BC    0,9",Остаток Алматы: 8 шт,10 650 KZT,5255347,Dulux,Англия,"0,9 л"
Фасадные краски,"KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 0,9",Остаток Алматы: 11 шт,12 200 KZT,970201001,Teknos,Финляндия,"0,9 л"
Фасадные краски,Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BW 9л,Остаток Алматы: 4 шт,43 243 KZT,5395834,Marshall,Турция,9 л
Фасадные краски,"Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BC 2,5л",Остаток Астана: 6 шт,15 930 KZT,5398714,Marshall,Турция,"2,5 л"
Фасадные краски,"KIRJO AQUA BASE PAINT 3 краска для листовой кровли 2,7",Остаток Алматы: 5 шт,30 120 KZT,970203003,Teknos,Финляндия,"2,7 л"
