Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Малярные инструменты,"Ванна д/краски,27х28см, пластик.",Остаток Алматы: 5 шт,700 KZT,30-1321,Master color,Россия,Не указан
Малярные инструменты,Кисть MAKO плоская натур.щетина плотность 60% 60мм/14мм 352560H,Остаток Астана: 5 шт,1 490 KZT,352560H,MAKO,Германия,Не указан
Малярные инструменты,"Радиаторная кисть, ширина 50 мм, толщ. 12 мм,  , нерж. обжим, деревянная ручка",Остаток Алматы: 1 шт,1 040 KZT,30-0303,Master color,Россия,Не указан
Малярные инструменты,Кисть MAKO плоская 30мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352430,Остаток Алматы: 4 шт,800 KZT,352430,MAKO,Германия,Не указан
Малярные инструменты,Поддон для краски 10 см,Остаток Алматы: 4 шт,2 645 KZT,621010,ANZA,Швеция,Не указан
Малярные инструменты,"Кисть ""Имитация дерева"" ATTREZZO LEGNATO BY OIKOS   109",Остаток Алматы: 2 шт,21 300 KZT,OIAATTL000,Oikos,Италия,Не указан
Малярные инструменты,Валик ELITE Титекс 10 см/15 мм,Остаток Алматы: 4 шт,3 090 KZT,550510,ANZA,Швеция,Не указан
Малярные инструменты,"Шпатель 40mm,  нержавеющиая сталь, пластиковая ручка",Остаток Астана: 4 шт,350 KZT,30-2304,Master color,Россия,Не указан
Малярные инструменты,"Шпатель, 80 мм,  нержавеющая сталь, 2К-ручка",Остаток Астана: 4 шт,1 510 KZT,30-2608,Master color,Россия,Не указан
Малярные инструменты,"Лента малярная золотистая, рисовая бумага, термостойк. до 120°C, УФ-стойкость до 30 дней, 48 мм х 25",Остаток Астана: 4 шт,2 780 KZT,30-6124,Master color,Россия,Не указан
Малярные инструменты,"Круглая кисть, Ø35 мм, натур. щетина, 55% топс, деревянная ручка",Остаток Алматы: 4 шт,475 KZT,30-0404,Master color,Россия,Не указан
Малярные инструменты,Кисть MAKO плоская 20мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352420,Остаток Астана: 4 шт,700 KZT,352420,MAKO,Германия,Не указан
Малярные инструменты,"Кисть для нанесения декоративных материалов, 100 мм",Остаток Астана: 4 шт,4 510 KZT,30-0066,Master color,Россия,Не указан
Малярные инструменты,"Шпатель 60mm нержавеющая сталь, пластиковая ручка",Остаток Астана: 4 шт,440 KZT,30-2306,Master color,Россия,Не указан
Малярные инструменты,"Макловица 3х10, 70% ПЭT/30% натур. щетина, нерж.обжим, 2-к ручка",Остаток Алматы: 3 шт,1 300 KZT,30-0592,Master color,Россия,Не указан
Малярные инструменты,"Ванна д/краски,33х353см, пластик.",Остаток Алматы: 3 шт,880 KZT,30-1322,Master color,Россия,Не указан
Малярные инструменты,Набор BASIC  Валик Анлон с рукояткой и поддоном 25 см,Остаток Алматы: 3 шт,12 230 KZT,800163,ANZA,Швеция,Не указан
Малярные инструменты,"Шпатель, 120 мм , нержавеющая сталь, 2К-ручка",Остаток Астана: 3 шт,1 970 KZT,30-2612,Master color,Россия,Не указан
Малярные инструменты,Набор Elite Валик Титекс с рукояткой и поддоном 25 см,Остаток Алматы: 3 шт,18 050 KZT,800160,ANZA,Швеция,Не указан
Малярные инструменты,Кисть BASIC радиаторная 70 мм.,Остаток Алматы: 3 шт,5 880 KZT,113270,ANZA,Швеция,Не указан
Малярные инструменты,Кисть MAKO плоская 40мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352440,Остаток Алматы: 3 шт,1 060 KZT,352440,MAKO,Германия,Не указан
Малярные инструменты,Квардратный тампон с исскуственной замшей на деревянной основе TAMPONE QUADRATO IN PELLE  103,Остаток Алматы: 2 шт,29 000 KZT,OIATAMLT00,Oikos,Италия,Не указан
Малярные инструменты,Валик МАКО в сборе полиамид Goldfaden 10см 723303SB,Остаток Алматы: 3 шт,2 000 KZT,723303SB,MAKO,Германия,Не указан
Малярные инструменты,Кисть MAKO флейцевая смеш.щетина плотность 70% 60мм/14мм 354360,Остаток Алматы: 3 шт,1 330 KZT,354360,MAKO,Германия,Не указан
Малярные инструменты,"Валик МАКО в сборе mako tex plus,10см короткая рукоятка 725406SB",Остаток Астана: 3 шт,2 530 KZT,725406SB,MAKO,Германия,Не указан
Малярные инструменты,"Губка MAKO шлифов., благородный абразивный слой, нежная/средняя, 100х70х25мм 840000M",Остаток Астана: 3 шт,1 030 KZT,840000M,MAKO,Германия,Не указан
Малярные инструменты,"Шпатель, 20 мм, нержавающая сталь, 2К-ручка",Остаток Алматы: 2 шт,1 160 KZT,30-2602,Master color,Россия,Не указан
Малярные инструменты,"Лента рисовая 38ммx50м красная акрл.кл.,UV120, 11мк,терм.100",Остаток Алматы: 2 шт,6 500 KZT,96073899,Color Expert,Германия,Не указан
Малярные инструменты,Кисть ELITE плоская 50мм,Остаток Алматы: 2 шт,8 740 KZT,150450,ANZA,Швеция,Не указан
Малярные инструменты,Удлинитель MAKO телескопический стальной 110-200см Ø 21/23мм 765541/765542,Остаток Астана: 2 шт,5 270 KZT,765541/765542,MAKO,Германия,Не указан
Малярные инструменты,Валик MAKO сменный микрофазер 10см для рукоятки 6мм 2 шт в пакете,Остаток Алматы: 1 шт,1 770 KZT,724510-02,MAKO,Германия,Не указан
Малярные инструменты,Набор Elite Валик Филт с рукояткой и поддоном 10 см,Остаток Алматы: 2 шт,7 100 KZT,810013,ANZA,Швеция,Не указан
Малярные инструменты,Кисть PLATINUM  плоская 50 мм.,Остаток Алматы: 2 шт,9 970 KZT,149550,ANZA,Швеция,Не указан
Малярные инструменты,"Шпатель, 100 мм , нержавеющая сталь, 2К-ручка",Остаток Астана: 2 шт,1 620 KZT,30-2610,Master color,Россия,Не указан
Малярные инструменты,Рукоятка MAKO для валика 25см стальной стержень 8мм 763026/763027,Остаток Алматы: 2 шт,1 940 KZT,763026/763027,MAKO,Германия,Не указан
Малярные инструменты,Кельма SPATOLA  280X120 MM        114,Остаток Алматы: 1 шт,35 900 KZT,OIAFRARG00,Oikos,Италия,Не указан
Малярные инструменты,Скотч MAKO малярный 50мх38мм (до 80°С) желтый 831338,Остаток Алматы: 2 шт,3 360 KZT,831338,MAKO,Германия,Не указан
Малярные инструменты,Пад с ручкой для работы с пропитками и маслами,Остаток Астана: 2 шт,6 000 KZT,30-0901,Master color,Россия,Не указан
Малярные инструменты,Тампон для нанесения (Салфетки) TAMPONI BY OIKOS  CONF.3PZ 102,Остаток Алматы: 1 шт,7 800 KZT,OIATAM03P0,Oikos,Италия,Не указан
Малярные инструменты,Кисть MAKO плоская 60мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352460,Остаток Алматы: 2 шт,1 500 KZT,352460,MAKO,Германия,Не указан
Малярные инструменты,"Маленькая кисть ""Испанка"" PENNELLO SPAGNA PICCOLO 3"" 140",Остаток Алматы: 1 шт,15 900 KZT,OIAPENS100,Oikos,Италия,Не указан
Малярные инструменты,Кисть MAKO плоская натур.щетина плотность 60% 70мм/13мм 352970K,Остаток Алматы: 2 шт,1 530 KZT,352970K,MAKO,Германия,Не указан
Малярные инструменты,Кисть MAKO флейцевая натур.щетина плотность 70% 70мм/21мм 354070,Остаток Алматы: 2 шт,2 700 KZT,354070,MAKO,Германия,Не указан
Малярные инструменты,"Макловица, 170х75 мм, пластик основа, пластик.ручка, ПЭТ- щетина",Остаток Астана: 2 шт,2 080 KZT,30-0572,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейцевая, ХАЛЯЛЬ, ширина 40 мм, толщ. 11 мм, 30%  светлый конский волос + 70% темный ПБТ",Остаток Алматы: 2 шт,475 KZT,30-0222,Master color,Россия,Не указан
Малярные инструменты,ГУБКА НАТУРАЛЬНАЯ МОРСКАЯ 10/11 см,Остаток Астана: 1 шт,8 670 KZT,30-2001,Master color,Россия,Не указан
Малярные инструменты,"Рукоятка для валика 10,15/30см",Остаток Алматы: 1 шт,3 310 KZT,608510,ANZA,Швеция,Не указан
Малярные инструменты,"Шпатель, 40 мм , нержавеющая сталь, 2К-ручка",Остаток Астана: 1 шт,1 280 KZT,30-2604,Master color,Россия,Не указан
Малярные инструменты,Кельма  SPATOLA  200X80  MM        112,Остаток Астана: 1 шт,34 400 KZT,OIAFRARP00,Oikos,Италия,Не указан
Малярные инструменты,Минивалик MAKO 5см в сборе короткая рукоятка 6мм 723105,Остаток Алматы: 1 шт,1 600 KZT,723105/723106,MAKO,Германия,Не указан
Малярные инструменты,Валик MAKO радиаторный в сборе 12 см экстра толстый 723801SB/723802SB,Остаток Алматы: 1 шт,2 530 KZT,723801SB/723802SB,MAKO,Германия,Не указан
Малярные инструменты,Металлическое приспособление для открытия банок APRIBARATTOLI              A03,Остаток Астана: 1 шт,7 800 KZT,OIAAPR0000,Oikos,Италия,Не указан
Малярные инструменты,"Щетка MAKO проволочная, проволока латунь 3 рядная 819603",Остаток Алматы: 1 шт,3 210 KZT,819603,MAKO,Германия,Не указан
Малярные инструменты,Ванночка MAKO для краски super GRIP 31*35 761836/761837,Остаток Астана: 1 шт,2 200 KZT,761836/761837,MAKO,Германия,Не указан
Малярные инструменты,Шпатель FRATTAZZO PLASTICA 120X280 134,Остаток Астана: 1 шт,12 000 KZT,OIAFRA1P00,Oikos,Италия,Не указан
Малярные инструменты,Ванночка MAKO для краски super GRIP 15*30 761826/761827,Остаток Алматы: 1 шт,860 KZT,761826/761827,MAKO,Германия,Не указан
Малярные инструменты,Минивалик MAKO в сборе микрофазер 10см длинная рукоятка,Остаток Алматы: 1 шт,2 520 KZT,724410SB/724411SB,MAKO,Германия,Не указан
Малярные инструменты,"Валик, 18 см, ядро 47, микрофибра PRO, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 1 шт,790 KZT,30-0838,Master color,Россия,Не указан
Малярные инструменты,"Ручка для валика 35-45 см, алюминий Ø 8, раздвижная",Остаток Астана: 1 шт,15 750 KZT,30-1240,Master color,Россия,Не указан
Лаки и масла,Dufa Лак YACHT яхтный полуматовый  10л,Остаток Алматы: 71 шт,75 450 KZT,Н0000002563,DUFA,Германия,9 л
Лаки и масла,Пропитка-антисептик Pinotex Classic Plus 3 в 1 CLR (база под колеровку) 9л,Остаток Алматы: 66 шт,80 180 KZT,5727924,Pinotex,Эстония,9 л
Лаки и масла,Dufa Лак PARKETT паркетный глянцевый 10л,Остаток Алматы: 68 шт,65 730 KZT,Н0000002240,DUFA,Германия,10 л
Лаки и масла,Dufa Лак PARKETT паркетный полуматовый 10л,Остаток Алматы: 61 шт,68 310 KZT,Н0000002491,DUFA,Германия,10 л
Лаки и масла,Dufa Лак YACHT яхтный глянцевый  10л,Остаток Алматы: 61 шт,70 080 KZT,Н0000002557,DUFA,Германия,10 л
Лаки и масла,"Dufa Пропитка WOOD TEX орегон  0,9л",Остаток Алматы: 42 шт,4 580 KZT,Н0000006090,DUFA,Германия,"0,9 л"
Лаки и масла,"Пропитка-антисептик Pinotex Classic Plus 3 в 1 CLR (база под колеровку) 0,9л",Остаток Алматы: 31 шт,9 910 KZT,5727613,Pinotex,Эстония,"0,9 л"
Лаки и масла,Dufa Лак PARKETT паркетный глянцевый   750мл,Остаток Алматы: 32 шт,6 480 KZT,Н0000002238,DUFA,Германия,750 мл
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- прозрачный- Clear-Tint base), банка 0,72л",Остаток Алматы: 34 шт,18 900 KZT,350037,TimberCare,Нидерланды,"0,72 л"
Лаки и масла,"Profilux Лак акриловый для мебели красное дерево 0,9 л",Остаток Алматы: 30 шт,2 800 KZT,МП00-005507,Profilux,Германия,"0,9 л"
Лаки и масла,Dufa Лак PARKETT паркетный полуматовый   750мл,Остаток Алматы: 28 шт,6 780 KZT,Н0000002489,DUFA,Германия,750 мл
Лаки и масла,"Profilux Лак акриловый для мебели тик 0,9 л",Остаток Алматы: 30 шт,2 800 KZT,МП00-005508,Profilux,Германия,"0,9 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- прозрачный- Clear-Tint base), банка 2,4л",Остаток Алматы: 30 шт,57 000 KZT,350038,TimberCare,Нидерланды,"2,4 л"
Лаки и масла,Dufa Лак YACHT яхтный полуматовый    750мл,Остаток Алматы: 28 шт,7 350 KZT,Н0000002562,DUFA,Германия,750 мл
Лаки и масла,"Покрытие суперизносостойкое кроющее TimberCare Porch&Floor (цвет- Прозрач- Clear base), банка 2,34л",Остаток Алматы: 29 шт,64 200 KZT,350130,TimberCare,Нидерланды,"2,34 л"
Лаки и масла,Pinotex Lacker Sauna 20 (полуматовый) 1л,Остаток Алматы: 25 шт,8 810 KZT,5254107,Pinotex,Эстония,1 л
Лаки и масла,Dufa Лак YACHT яхтный глянцевый    750мл,Остаток Алматы: 26 шт,7 000 KZT,Н0000002556,DUFA,Германия,750 мл
Лаки и масла,"Покрытие суперизносостойкое кроющее TimberCare Porch&Floor (цвет- Белый- White base), банка 2,375л",Остаток Алматы: 28 шт,72 800 KZT,350120,TimberCare,Нидерланды,"2,375 л"
Лаки и масла,Dufa Пропитка WOOD TEX серая  9л,Остаток Алматы: 26 шт,32 690 KZT,МП00-011826,DUFA,Германия,9 л
Лаки и масла,Dufa Пропитка WOOD TEX орегон  3л,Остаток Алматы: 24 шт,13 050 KZT,Н0000006091,DUFA,Германия,3 л
Лаки и масла,"Profilux Лак акриловый для мебели белый 0,9 л",Остаток Алматы: 23 шт,2 800 KZT,МП00-005505,Profilux,Германия,"0,9 л"
Лаки и масла,"Матирующий лак LAQUE MAT, 1 л",Остаток Алматы: 23 шт,17 855 KZT,MD LM-10,Maitre Deco,Франция,1 л
Лаки и масла,Dufa Пропитка WOOD TEX бесцветная  3л,Остаток Алматы: 22 шт,13 050 KZT,Н0000006066,DUFA,Германия,3 л
Лаки и масла,"Dufa Пропитка WOOD TEX махагон  0,9л",Остаток Алматы: 22 шт,4 580 KZT,Н0000006082,DUFA,Германия,"0,9 л"
Лаки и масла,Dufa Лак YACHT яхтный глянцевый   2л,Остаток Алматы: 21 шт,18 190 KZT,МП00-009411,DUFA,Германия,2 л
Лаки и масла,Dufa Пропитка WOOD TEX дуб  3л,Остаток Алматы: 22 шт,13 050 KZT,Н0000006079,DUFA,Германия,3 л
Лаки и масла,"Dufa Пропитка WOOD TEX сосна  0,9л",Остаток Алматы: 21 шт,4 580 KZT,Н0000006088,DUFA,Германия,"0,9 л"
Лаки и масла,"Profilux Лак акриловый для мебели бесцветный 0,9 л",Остаток Алматы: 20 шт,2 660 KZT,МП00-005501,Profilux,Германия,"0,9 л"
Лаки и масла,Dufa Пропитка WOOD TEX орегон  9л,Остаток Алматы: 20 шт,32 690 KZT,МП00-011822,DUFA,Германия,9 л
Лаки и масла,Dufa Пропитка WOOD TEX сосна  9л,Остаток Алматы: 20 шт,32 690 KZT,МП00-011827,DUFA,Германия,9 л
Лаки и масла,"Pinotex Lacker Aqua 70 (глянцевый) 2,7 л",Остаток Алматы: 17 шт,20 080 KZT,5254103,Pinotex,Эстония,"2,7 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Темный орех- Dark walnut), банка 2,5л",Остаток Алматы: 19 шт,66 400 KZT,350084,TimberCare,Нидерланды,"2,5 л"
Лаки и масла,"Dufa Пропитка WOOD TEX рябина  0,9л",Остаток Алматы: 19 шт,4 580 KZT,Н0000006084,DUFA,Германия,"0,9 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Скандинавский- Nordic), банка 2,5л",Остаток Алматы: 18 шт,66 400 KZT,350081,TimberCare,Нидерланды,"2,5 л"
Лаки и масла,Dufa Лак PARKETT паркетный глянцевый  2л,Остаток Алматы: 16 шт,16 860 KZT,МП00-009234,DUFA,Германия,2 л
Лаки и масла,Dufa Пропитка WOOD TEX венге  3л,Остаток Алматы: 18 шт,13 050 KZT,Н0000006319,DUFA,Германия,3 л
Лаки и масла,Dufa Пропитка WOOD TEX сосна  3л,Остаток Алматы: 18 шт,13 050 KZT,Н0000006089,DUFA,Германия,3 л
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Античный белый- Warm antique), банка 2,5л",Остаток Алматы: 17 шт,66 400 KZT,350082,TimberCare,Нидерланды,"2,5 л"
Лаки и масла,"Масло для фасадов и террас TimberCare Facade&Terrace Oil (цвет- натуральный), банка 2,5л",Остаток Алматы: 17 шт,69 800 KZT,350048,TimberCare,Нидерланды,"2,5 л"
Лаки и масла,"Пропитка-антисептик Pinotex Classic Plus 3 в 1 Палисандр 0,9л",Остаток Алматы: 16 шт,9 910 KZT,5727787,Pinotex,Эстония,"0,9 л"
Лаки и масла,Dufa Пропитка WOOD TEX дуб  9л,Остаток Алматы: 16 шт,32 690 KZT,МП00-011820,DUFA,Германия,9 л
Лаки и масла,Dufa Лак YACHT яхтный полуматовый   2л,Остаток Алматы: 16 шт,18 700 KZT,МП00-009412,DUFA,Германия,2 л
Лаки и масла,Dufa Пропитка WOOD TEX тик  3л,Остаток Алматы: 16 шт,13 050 KZT,Н0000006087,DUFA,Германия,3 л
Лаки и масла,Dufa Пропитка WOOD TEX палисандр  9л,Остаток Алматы: 15 шт,32 690 KZT,МП00-011824,DUFA,Германия,9 л
Лаки и масла,Dufa Пропитка WOOD TEX рябина  9л,Остаток Алматы: 15 шт,32 690 KZT,МП00-011825,DUFA,Германия,9 л
Лаки и масла,Dufa Лак PARKETT паркетный полуматовый  2л,Остаток Алматы: 13 шт,17 820 KZT,МП00-009235,DUFA,Германия,2 л
Лаки и масла,"Dufa Пропитка WOOD TEX белая  0,9л",Остаток Алматы: 13 шт,4 580 KZT,Н0000006092,DUFA,Германия,"0,9 л"
Лаки и масла,Dufa Пропитка WOOD TEX серая  3л,Остаток Алматы: 13 шт,13 050 KZT,МП00-011150,DUFA,Германия,3 л
Лаки и масла,"Dufa Пропитка WOOD TEX серая  0,9л",Остаток Алматы: 13 шт,4 580 KZT,МП00-011149,DUFA,Германия,"0,9 л"
Лаки и масла,Dufa Пропитка WOOD TEX махагон  9л,Остаток Алматы: 13 шт,32 690 KZT,МП00-011821,DUFA,Германия,9 л
Лаки и масла,"Пропитка-антисептик Pinotex Classic Plus 3 в 1 Палисандр 2,5л",Остаток Алматы: 12 шт,25 660 KZT,5727785,Pinotex,Эстония,"2,5 л"
Лаки и масла,Dufa Пропитка WOOD TEX бесцветная  9л,Остаток Алматы: 11 шт,32 690 KZT,МП00-011818,DUFA,Германия,9 л
Лаки и масла,Dufa Пропитка WOOD TEX венге  9л,Остаток Алматы: 12 шт,32 690 KZT,МП00-011819,DUFA,Германия,9 л
Лаки и масла,"Pinotex Lacker Aqua 10 (матовый) 2,7 л",Остаток Алматы: 11 шт,20 080 KZT,5254106,Pinotex,Эстония,"2,7 л"
Лаки и масла,Dufa Пропитка WOOD TEX тик  9л,Остаток Алматы: 10 шт,32 690 KZT,МП00-011828,DUFA,Германия,9 л
Лаки и масла,"Пропитка-антисептик Pinotex Classic Plus 3 в 1 CLR (база под колеровку) 2,5л",Остаток Алматы: 10 шт,25 660 KZT,5727612,Pinotex,Эстония,"2,5 л"
Лаки и масла,"Масло для фасадов и террас TimberCare Facade&Terrace Oil (цвет- натуральный), банка 0,75л",Остаток Алматы: 10 шт,22 700 KZT,350047,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,Dufa Пропитка WOOD TEX рябина  3л,Остаток Алматы: 10 шт,12 000 KZT,Н0000006085,DUFA,Германия,3 л
Лаки и масла,Dufa Пропитка WOOD TEX белая  3л,Остаток Алматы: 10 шт,13 050 KZT,Н0000006093,DUFA,Германия,3 л
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Лесной орех- Hazelnut), банка 0,2л",Остаток Алматы: 9 шт,8 100 KZT,350015,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Черешня- Black cherry), банка 0,2л",Остаток Алматы: 9 шт,8 100 KZT,350031,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Белый мел- Chalk White), банка 0,175л",Остаток Алматы: 8 шт,12 000 KZT,350106,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Светло-сер- Light gray), банка 0,175л",Остаток Алматы: 8 шт,12 000 KZT,350107,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Черный- Black), банка 0,175л",Остаток Алматы: 8 шт,12 000 KZT,350105,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Белый мел- Chalk White), банка 0,75л",Остаток Алматы: 8 шт,32 100 KZT,350065,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Античный белый), банка 0,75л",Остаток Алматы: 8 шт,32 100 KZT,350067,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Черешня- Black cherry), банка 0,75л",Остаток Алматы: 8 шт,23 100 KZT,350032,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Старинное дерево- Old wood), банка 0,2л",Остаток Алматы: 8 шт,8 100 KZT,350007,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Dufa Пропитка WOOD TEX тик  0,9л",Остаток Алматы: 8 шт,4 580 KZT,Н0000006086,DUFA,Германия,"0,9 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Латте- Latte), банка 0,2л",Остаток Алматы: 7 шт,8 100 KZT,350017,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Античный белый- Warm antique), банка 0,75л",Остаток Алматы: 7 шт,23 100 KZT,350004,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Черный- Black), банка 0,75л",Остаток Алматы: 7 шт,32 100 KZT,350064,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Серый холод- Blue gray), банка 0,175л",Остаток Алматы: 7 шт,12 000 KZT,350104,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Старинное дерево- Old wood), банка 0,75л",Остаток Алматы: 7 шт,23 100 KZT,350008,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Серый холодн- Blue gray), банка 0,75л",Остаток Алматы: 7 шт,32 100 KZT,350063,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Проф. лак на масляной основе TimberCare Pro Oil Varnish (цвет- полуматовый- satin), банка 2,5л",Остаток Алматы: 6 шт,58 700 KZT,350070,TimberCare,Нидерланды,"2,5 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Античный белый- Warm antique), банка 0,2л",Остаток Алматы: 6 шт,8 100 KZT,350003,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Золотое дерево- Golden tree), банка 0,2л",Остаток Алматы: 6 шт,8 100 KZT,350011,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,Экопокрытие TimberCare Aqua Color Stain суперстойкое д-внутренних и наружных работ (цвет- прозрачный,Остаток Алматы: 6 шт,69 800 KZT,350098,TimberCare,Нидерланды,"2,45 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Ант.белый- Antique Wh), банка 0,175л",Остаток Алматы: 6 шт,12 000 KZT,350108,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- прозрачный матовый), банка 0,175л",Остаток Алматы: 5 шт,12 000 KZT,350051,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Серая дымка- Gray mist), банка 0,2л",Остаток Алматы: 5 шт,8 100 KZT,350009,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Скандинавский- Nordic), банка 0,2л",Остаток Алматы: 5 шт,8 100 KZT,350001,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Покрытие суперстойкое кроющее TimberCare Solid Color Stain (цвет- Прозрачн-Clear base), банка 0,675л",Остаток Алматы: 5 шт,22 900 KZT,350055,TimberCare,Нидерланды,"0,675 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Кофе- Coffee), банка 0,2л",Остаток Алматы: 5 шт,8 100 KZT,350019,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Серая дымка- Gray mist), банка 0,75л",Остаток Алматы: 5 шт,23 100 KZT,350010,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Проф. лак на масляной основе TimberCare Pro Oil Varnish (цвет- полуглянцевый-semi-gloss), банка 2,5л",Остаток Алматы: 5 шт,58 700 KZT,350071,TimberCare,Нидерланды,"2,5 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Латте- Latte), банка 0,75л",Остаток Алматы: 4 шт,23 100 KZT,350018,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 9,Остаток Алматы: 4 шт,74 580 KZT,9482003010,Teknos,Финляндия,9 л
Лаки и масла,"Покрытие суперстойкое кроющее TimberCare Solid Color Stain (цвет- Прозрачн-Clear base), банка 2,25л",Остаток Алматы: 4 шт,63 500 KZT,350056,TimberCare,Нидерланды,"2,25 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Светло-сер- Light gray), банка 0,75л",Остаток Алматы: 4 шт,32 100 KZT,350066,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Благородный дуб- Noble oak), банка 0,2л",Остаток Алматы: 3 шт,8 100 KZT,350005,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,Pinotex Lacker Aqua 10 (матовый) 1 л,Остаток Алматы: 3 шт,7 880 KZT,5254104,Pinotex,Эстония,1 л
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Лесной орех- Hazelnut), банка 0,75л",Остаток Алматы: 3 шт,23 100 KZT,350016,TimberCare,Нидерланды,"0,75 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Орех- English Color), банка 0,175л",Остаток Алматы: 3 шт,12 000 KZT,350101,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Защитное покрытие IGROLUX SATINATO      LT. 2,25",Остаток Алматы: 3 шт,83 200 KZT,OISIGRS00G,Oikos,Италия,"2,25 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Песчаная галька- Stone), банка 0,2л",Остаток Алматы: 3 шт,8 100 KZT,350093,TimberCare,Нидерланды,"0,2 л"
Лаки и масла,"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Темно-корич- Castle Br), банка 0,175л",Остаток Алматы: 3 шт,12 000 KZT,350102,TimberCare,Нидерланды,"0,175 л"
Лаки и масла,"Покрытие суперстойкое п-прозрачное TimberCare Facade Color Stain (цвет- полупрозрачный), банка 0,72л",Остаток Алматы: 3 шт,18 900 KZT,350057,TimberCare,Нидерланды,"0,72 л"
Лаки и масла,"Тонирующее масло TimberCare Wood Stain (цвет- Благородный дуб- Noble oak), банка 0,75л",Остаток Алматы: 3 шт,23 100 KZT,350006,TimberCare,Нидерланды,"0,75 л"
