Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Штукатурка MARMOR.NAT.FINE P/B.CO   KG. 1,Остаток Алматы: 6 шт,6 600 KZT,LMF000000T,Oikos,Италия,1 кг
Штукатурка RASAT.ALLA CALCE FINE    KG.20,Остаток Алматы: 3 шт,64 500 KZT,LPR0F0000Z,Oikos,Италия,20 кг
Штукатурка MARMORINO NAT. P/BIANCO  KG. 5,Остаток Алматы: 1 шт,27 600 KZT,LMM000000W,Oikos,Италия,5 кг
"Известковая штукатурка TRAVERTIN, 15 кг",Остаток Алматы: 2 шт,111 530 KZT,MD TT-15,Maitre Deco,Франция,15 л
Штукатурка MARMOR.NAT.FINE P/B.CO   KG. 5,Остаток Алматы: 2 шт,27 600 KZT,LMF000000W,Oikos,Италия,5 кг
Штукатурка TRAVERTINO ROMANO FINIT.LT.4,Остаток Алматы: 2 шт,114 400 KZT,LTRF00000D,Oikos,Италия,4 л
Штукатурка RASAT.ALLA CALCE GROSSO  KG.20,Остаток Астана: 2 шт,64 500 KZT,LPR0G0000Z,Oikos,Италия,20 кг
Штукатурка TRAVERTINO ROMANO FINIT.LT.1,Остаток Алматы: 1 шт,30 400 KZT,LTRF00000E,Oikos,Италия,1 л
