Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Краска в/э матовая Veloute база  светлая 10л,Остаток Алматы: 5 шт,253 400 KZT,AMVP10,Argile,Франция,10 л
Краска в/э акриловая матовая база светлая 5л,Остаток Алматы: 5 шт,128 030 KZT,AMPP5,Argile,Франция,5 л
"Краска в/э акриловая матовая база  экстра-темная 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,112 545 KZT,PLPFE5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э акриловая матовая база  экстра-темная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,63 880 KZT,PLPFE25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска в/э акриловая матовая база средняя 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,63 880 KZT,PLPFM25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска в/э акриловая матовая база средняя 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,36 050 KZT,PLPFM075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска  ULTRASATEN OPACO I      LT.1,Остаток Алматы: 5 шт,18 800 KZT,OISULOI00E,Oikos,Италия,1 л
Краска  ULTRASATEN SATIN.TR NEW LT.4,Остаток Алматы: 5 шт,63 000 KZT,OISUL0TR1D,Oikos,Италия,4 л
"Краска в/э матовая Veloute база светлая 2,5л",Остаток Алматы: 5 шт,85 960 KZT,AMVP25,Argile,Франция,"2,5 л"
Краска в/э матовая Veloute база средняя 5л,Остаток Алматы: 5 шт,154 310 KZT,AMVI5,Argile,Франция,5 л
Краска  OTTOCENTO BASE TR     LT. 1,Остаток Алматы: 4 шт,51 800 KZT,FO000TR00E,Oikos,Италия,1 л
Эмаль универсальная белая глянцевая,Остаток Алматы: 4 шт,2 200 KZT,KU-1001,KUDO,Россия,520 мл
Краска  SUPERCOLOR BIANCO        LT. 4,Остаток Алматы: 4 шт,46 800 KZT,OISSUS000D,Oikos,Италия,4 л
"Краска в/э матовая влагостойкая база темная 2.5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 4 шт,69 050 KZT,PLARD25,PPL(Paint&Paper Library),Англия,"2,5 л"
Краска в/э матовая Veloute база  светлая 0.75л,Остаток Алматы: 4 шт,36 750 KZT,AMVP075,Argile,Франция,"0,75 л"
"Краска в/э акриловая матовая база белая 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,112 545 KZT,PLPF5,PPL(Paint&Paper Library),Англия,5 л
Краска  SUPERCOLOR BASE P        LT. 1,Остаток Алматы: 3 шт,12 700 KZT,OISSUPP00E,Oikos,Италия,1 л
"Краска в/э акриловая матовая база белая 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,36 050 KZT,PLPF075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э акриловая матовая база бесцветная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,63 880 KZT,PLPFT25,PPL(Paint&Paper Library),Англия,"2,5 л"
"LEGEND Декоративное покрытие с эффектом замши, 2",Остаток Астана: 3 шт,67 461 KZT,MD LG-20,Maitre Deco,Франция,2 л
"Краска в/э матовая Veloute база T343, 5л",Остаток Алматы: 3 шт,,AMVT3435,Argile,Франция,5 л
Краска  ULTRASATEN OPACO P      LT.4,Остаток Алматы: 3 шт,72 800 KZT,OISULOP00D,Oikos,Италия,4 л
Краска  SUPERCOLOR BASE TR NEW   LT. 4,Остаток Алматы: 3 шт,41 400 KZT,OISSUPTR1D,Oikos,Италия,4 л
"Краска  IMPERIUM IMP  54 BASE LT. 0,25",Остаток Алматы: 1 шт,24 900 KZT,FI0000054Q,Oikos,Италия,"0,25 л"
"Краска в/э матовая влагостойкая база белая 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 3 шт,37 110 KZT,PLAR075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э акриловая матовая база экстра-темная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 3 шт,36 050 KZT,PPLPFE075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска  SUPERCOLOR BASE P        LT. 4,Остаток Алматы: 3 шт,45 800 KZT,OISSUPP00D,Oikos,Италия,4 л
Краска  ULTRASATEN OPACO TR NEW LT.10,Остаток Алматы: 3 шт,141 200 KZT,OISULOTR1O,Oikos,Италия,10 л
Краска  SUPERCOLOR BASE P        LT.10,Остаток Алматы: 3 шт,103 100 KZT,OISSUPP00O,Oikos,Италия,10 л
Краска  PALLAS BASE P LT. 1,Остаток Алматы: 3 шт,39 300 KZT,PALPAL0P0E,Oikos,Италия,1 л
"Краска в/э акриловая матовая база темная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 3 шт,63 880 KZT,PLPFD25,PPL(Paint&Paper Library),Англия,"2,5 л"
Краска Dulux Professional BINDO 7 матовая BC 9л,Остаток Астана: 2 шт,56 250 KZT,5309495,Dulux,Англия,9 л
"Краска Dulux 3D White матовая BW 2,5л",Остаток Алматы: 2 шт,17 370 KZT,5701640,Dulux,Англия,"2,5 л"
Краска  ULTRASATEN SATIN.P      LT.4,Остаток Алматы: 2 шт,76 200 KZT,OISUL0P00D,Oikos,Италия,4 л
Краска  ULTRASATEN SATIN.P      LT.1,Остаток Астана: 2 шт,20 400 KZT,OISUL0P00E,Oikos,Италия,1 л
Краска  OTTOCENTO BASE TR     LT. 4,Остаток Алматы: 2 шт,195 600 KZT,FO000TR00D,Oikos,Италия,4 л
Краска  ULTRASATEN OPACO I      LT.10,Остаток Алматы: 2 шт,159 900 KZT,OISULOI00O,Oikos,Италия,10 л
"Краска в/э матовая влагостойкая база бесцветная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 2 шт,37 110 KZT,PLAT075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э акриловая полуматовая, б. э-темная 2,5л, Architects Satinwood, Paint&Paper Library",Остаток Алматы: 2 шт,96 580 KZT,PLASE25,PPL(Paint&Paper Library),Англия,"2,5 л"
Краска ENCANTO BIANCO BASE   LT. 4,Остаток Алматы: 2 шт,170 900 KZT,FE000BN00D,Oikos,Италия,4 л
Краска  ULTRASATEN OPACO P      LT.1,Остаток Алматы: 2 шт,19 800 KZT,OISULOP00E,Oikos,Италия,1 л
Краска  SUPERCOLOR BASE I        LT. 4,Остаток Алматы: 2 шт,44 100 KZT,OISSUPI00D,Oikos,Италия,4 л
Краска  ENCANTO GOLD BASE     LT. 1,Остаток Алматы: 2 шт,40 900 KZT,FE000GO00E,Oikos,Италия,1 л
