Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Шпатлевка финишная Dulux Bindo Filler 8,6л (15 кг)",Остаток Алматы: 62 шт,22 660 KZT,5319755,Dulux,Англия,"8,6 л"
"Шпатлевка финишная Dulux Bindo Filler 2,9л (5,1 кг)",Остаток Астана: 2 шт,8 700 KZT,5319758,Dulux,Англия,"2,9 л"
"Шпатлевка финишная Dulux Bindo Filler 0.9 л (1,5кг)",Остаток Алматы: 1 шт,4 390 KZT,5319761,Dulux,Англия,"0,9 л"
