Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Dufa Пропитка WOOD TEX тик  3л,Остаток Алматы: 16 шт,13 050 KZT,Н0000006087,DUFA,Германия,3 л
Dufa Пропитка WOOD TEX палисандр  9л,Остаток Алматы: 15 шт,32 690 KZT,МП00-011824,DUFA,Германия,9 л
Dufa Пропитка WOOD TEX рябина  9л,Остаток Алматы: 15 шт,32 690 KZT,МП00-011825,DUFA,Германия,9 л
Dufa Лак PARKETT паркетный полуматовый  2л,Остаток Алматы: 13 шт,17 820 KZT,МП00-009235,DUFA,Германия,2 л
"Dufa Пропитка WOOD TEX белая  0,9л",Остаток Алматы: 13 шт,4 580 KZT,Н0000006092,DUFA,Германия,"0,9 л"
Dufa Пропитка WOOD TEX серая  3л,Остаток Алматы: 13 шт,13 050 KZT,МП00-011150,DUFA,Германия,3 л
"Dufa Пропитка WOOD TEX серая  0,9л",Остаток Алматы: 13 шт,4 580 KZT,МП00-011149,DUFA,Германия,"0,9 л"
Dufa Пропитка WOOD TEX махагон  9л,Остаток Алматы: 13 шт,32 690 KZT,МП00-011821,DUFA,Германия,9 л
"Пропитка-антисептик Pinotex Classic Plus 3 в 1 Палисандр 2,5л",Остаток Алматы: 12 шт,25 660 KZT,5727785,Pinotex,Эстония,"2,5 л"
Dufa Пропитка WOOD TEX бесцветная  9л,Остаток Алматы: 11 шт,32 690 KZT,МП00-011818,DUFA,Германия,9 л
Dufa Пропитка WOOD TEX венге  9л,Остаток Алматы: 12 шт,32 690 KZT,МП00-011819,DUFA,Германия,9 л
"Pinotex Lacker Aqua 10 (матовый) 2,7 л",Остаток Алматы: 11 шт,20 080 KZT,5254106,Pinotex,Эстония,"2,7 л"
Dufa Пропитка WOOD TEX тик  9л,Остаток Алматы: 10 шт,32 690 KZT,МП00-011828,DUFA,Германия,9 л
"Пропитка-антисептик Pinotex Classic Plus 3 в 1 CLR (база под колеровку) 2,5л",Остаток Алматы: 10 шт,25 660 KZT,5727612,Pinotex,Эстония,"2,5 л"
"Масло для фасадов и террас TimberCare Facade&Terrace Oil (цвет- натуральный), банка 0,75л",Остаток Алматы: 10 шт,22 700 KZT,350047,TimberCare,Нидерланды,"0,75 л"
Dufa Пропитка WOOD TEX рябина  3л,Остаток Алматы: 10 шт,12 000 KZT,Н0000006085,DUFA,Германия,3 л
Dufa Пропитка WOOD TEX белая  3л,Остаток Алматы: 10 шт,13 050 KZT,Н0000006093,DUFA,Германия,3 л
"Тонирующее масло TimberCare Wood Stain (цвет- Лесной орех- Hazelnut), банка 0,2л",Остаток Алматы: 9 шт,8 100 KZT,350015,TimberCare,Нидерланды,"0,2 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Черешня- Black cherry), банка 0,2л",Остаток Алматы: 9 шт,8 100 KZT,350031,TimberCare,Нидерланды,"0,2 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Белый мел- Chalk White), банка 0,175л",Остаток Алматы: 8 шт,12 000 KZT,350106,TimberCare,Нидерланды,"0,175 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Светло-сер- Light gray), банка 0,175л",Остаток Алматы: 8 шт,12 000 KZT,350107,TimberCare,Нидерланды,"0,175 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Черный- Black), банка 0,175л",Остаток Алматы: 8 шт,12 000 KZT,350105,TimberCare,Нидерланды,"0,175 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Белый мел- Chalk White), банка 0,75л",Остаток Алматы: 8 шт,32 100 KZT,350065,TimberCare,Нидерланды,"0,75 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Античный белый), банка 0,75л",Остаток Алматы: 8 шт,32 100 KZT,350067,TimberCare,Нидерланды,"0,75 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Черешня- Black cherry), банка 0,75л",Остаток Алматы: 8 шт,23 100 KZT,350032,TimberCare,Нидерланды,"0,75 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Старинное дерево- Old wood), банка 0,2л",Остаток Алматы: 8 шт,8 100 KZT,350007,TimberCare,Нидерланды,"0,2 л"
"Dufa Пропитка WOOD TEX тик  0,9л",Остаток Алматы: 8 шт,4 580 KZT,Н0000006086,DUFA,Германия,"0,9 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Латте- Latte), банка 0,2л",Остаток Алматы: 7 шт,8 100 KZT,350017,TimberCare,Нидерланды,"0,2 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Античный белый- Warm antique), банка 0,75л",Остаток Алматы: 7 шт,23 100 KZT,350004,TimberCare,Нидерланды,"0,75 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Черный- Black), банка 0,75л",Остаток Алматы: 7 шт,32 100 KZT,350064,TimberCare,Нидерланды,"0,75 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Серый холод- Blue gray), банка 0,175л",Остаток Алматы: 7 шт,12 000 KZT,350104,TimberCare,Нидерланды,"0,175 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Старинное дерево- Old wood), банка 0,75л",Остаток Алматы: 7 шт,23 100 KZT,350008,TimberCare,Нидерланды,"0,75 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Серый холодн- Blue gray), банка 0,75л",Остаток Алматы: 7 шт,32 100 KZT,350063,TimberCare,Нидерланды,"0,75 л"
"Проф. лак на масляной основе TimberCare Pro Oil Varnish (цвет- полуматовый- satin), банка 2,5л",Остаток Алматы: 6 шт,58 700 KZT,350070,TimberCare,Нидерланды,"2,5 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Античный белый- Warm antique), банка 0,2л",Остаток Алматы: 6 шт,8 100 KZT,350003,TimberCare,Нидерланды,"0,2 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Золотое дерево- Golden tree), банка 0,2л",Остаток Алматы: 6 шт,8 100 KZT,350011,TimberCare,Нидерланды,"0,2 л"
Экопокрытие TimberCare Aqua Color Stain суперстойкое д-внутренних и наружных работ (цвет- прозрачный,Остаток Алматы: 6 шт,69 800 KZT,350098,TimberCare,Нидерланды,"2,45 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Ант.белый- Antique Wh), банка 0,175л",Остаток Алматы: 6 шт,12 000 KZT,350108,TimberCare,Нидерланды,"0,175 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- прозрачный матовый), банка 0,175л",Остаток Алматы: 5 шт,12 000 KZT,350051,TimberCare,Нидерланды,"0,175 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Серая дымка- Gray mist), банка 0,2л",Остаток Алматы: 5 шт,8 100 KZT,350009,TimberCare,Нидерланды,"0,2 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Скандинавский- Nordic), банка 0,2л",Остаток Алматы: 5 шт,8 100 KZT,350001,TimberCare,Нидерланды,"0,2 л"
"Покрытие суперстойкое кроющее TimberCare Solid Color Stain (цвет- Прозрачн-Clear base), банка 0,675л",Остаток Алматы: 5 шт,22 900 KZT,350055,TimberCare,Нидерланды,"0,675 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Кофе- Coffee), банка 0,2л",Остаток Алматы: 5 шт,8 100 KZT,350019,TimberCare,Нидерланды,"0,2 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Серая дымка- Gray mist), банка 0,75л",Остаток Алматы: 5 шт,23 100 KZT,350010,TimberCare,Нидерланды,"0,75 л"
"Проф. лак на масляной основе TimberCare Pro Oil Varnish (цвет- полуглянцевый-semi-gloss), банка 2,5л",Остаток Алматы: 5 шт,58 700 KZT,350071,TimberCare,Нидерланды,"2,5 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Латте- Latte), банка 0,75л",Остаток Алматы: 4 шт,23 100 KZT,350018,TimberCare,Нидерланды,"0,75 л"
WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 9,Остаток Алматы: 4 шт,74 580 KZT,9482003010,Teknos,Финляндия,9 л
"Покрытие суперстойкое кроющее TimberCare Solid Color Stain (цвет- Прозрачн-Clear base), банка 2,25л",Остаток Алматы: 4 шт,63 500 KZT,350056,TimberCare,Нидерланды,"2,25 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Светло-сер- Light gray), банка 0,75л",Остаток Алматы: 4 шт,32 100 KZT,350066,TimberCare,Нидерланды,"0,75 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Благородный дуб- Noble oak), банка 0,2л",Остаток Алматы: 3 шт,8 100 KZT,350005,TimberCare,Нидерланды,"0,2 л"
Pinotex Lacker Aqua 10 (матовый) 1 л,Остаток Алматы: 3 шт,7 880 KZT,5254104,Pinotex,Эстония,1 л
"Тонирующее масло TimberCare Wood Stain (цвет- Лесной орех- Hazelnut), банка 0,75л",Остаток Алматы: 3 шт,23 100 KZT,350016,TimberCare,Нидерланды,"0,75 л"
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Орех- English Color), банка 0,175л",Остаток Алматы: 3 шт,12 000 KZT,350101,TimberCare,Нидерланды,"0,175 л"
"Защитное покрытие IGROLUX SATINATO      LT. 2,25",Остаток Алматы: 3 шт,83 200 KZT,OISIGRS00G,Oikos,Италия,"2,25 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Песчаная галька- Stone), банка 0,2л",Остаток Алматы: 3 шт,8 100 KZT,350093,TimberCare,Нидерланды,"0,2 л"
