Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Краска Dulux TRADE Фасадная гладкая bs BW  2,5",Остаток Алматы: 9 шт,27 890 KZT,5183700,Dulux,Англия,"2,5 л"
"Краска Dulux TRADE Фасадная гладкая bs BC    0,9",Остаток Алматы: 8 шт,10 650 KZT,5255347,Dulux,Англия,"0,9 л"
"KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 0,9",Остаток Алматы: 11 шт,12 200 KZT,970201001,Teknos,Финляндия,"0,9 л"
Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BW 9л,Остаток Алматы: 4 шт,43 243 KZT,5395834,Marshall,Турция,9 л
"Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BC 2,5л",Остаток Астана: 6 шт,15 930 KZT,5398714,Marshall,Турция,"2,5 л"
"KIRJO AQUA BASE PAINT 3 краска для листовой кровли 2,7",Остаток Алматы: 5 шт,30 120 KZT,970203003,Teknos,Финляндия,"2,7 л"
AKRIKOR структурная BW  9,Остаток Алматы: 5 шт,53 080 KZT,5248859,Marshall,Турция,9 л
"Краска Luxium Prof Diamond Фасад Глад мт BW 2,5л",Остаток Алматы: 5 шт,27 890 KZT,50034855,LUXIUM,Германия,"2,5 л"
Краска Dulux TRADE Фасадная гладкая bs BW  1,Остаток Алматы: 1 шт,10 650 KZT,5255345,Dulux,Англия,1 л
Marshall ФАСАД+ BC  9,Остаток Алматы: 4 шт,21 240 KZT,5261401,Marshall,Турция,9 л
KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 9,Остаток Алматы: 3 шт,93 250 KZT,970201010,Teknos,Финляндия,9 л
"MAESTRO фасадная акриловая BW  4,5",Остаток Алматы: 3 шт,21 150 KZT,5251964,Marshall,Турция,"4,5 л"
Marshall ФАСАД+ BW  9,Остаток Алматы: 2 шт,21 240 KZT,5261348,Marshall,Турция,9 л
Краска Dulux Professional Diamond Фасадная Гладкая мат BW 9л,Остаток Алматы: 1 шт,84 950 KZT,5770494,Dulux,Англия,9 л
"Краска Dulux Professional BINDO FACADE для фасадов и цоколей BC 2,25л",Остаток Алматы: 1 шт,11 620 KZT,5351673,Dulux,Англия,"2,25 л"
